engine,scenario_id,repeat_id,seed,step,time_s,cmd_vx,cmd_yaw,base_z,base_roll,base_pitch,base_lin_vx,base_ang_yaw,action_l2,action_delta_l2,fallen_flag
mujoco,stairs_forward,2,2,1,0.010000000000000002,1.0,0.0,0.49951925339504216,0.00031551781193965946,0.0026528117609707163,-0.00710847819081713,-0.10167392808684753,1.0706878900527954,0.0,0
mujoco,stairs_forward,2,2,2,0.02000000000000001,1.0,0.0,0.49817438108825474,0.0005547919875861855,0.004568691776320595,-0.0009851003932436601,-0.07488127940506054,1.0949957370758057,0.328556627035141,0
mujoco,stairs_forward,2,2,3,0.03000000000000002,1.0,0.0,0.49598331998793765,0.0004487066367242603,0.007265895164045769,-0.006093028423357307,-0.06381184714220564,1.0766799449920654,0.2006673365831375,0
mujoco,stairs_forward,2,2,4,0.04000000000000003,1.0,0.0,0.4928522494035309,0.00041459615473352985,0.008969130367115406,-0.0025624710076921652,-0.05475057031529229,0.8925589919090271,0.22282294929027557,0
mujoco,stairs_forward,2,2,5,0.05000000000000004,1.0,0.0,0.488755828201712,0.0001376624979374847,0.010980497933084714,-0.006353960466847615,-0.04795704054076425,0.7652779221534729,0.1984386146068573,0
mujoco,stairs_forward,2,2,6,0.060000000000000046,1.0,0.0,0.4836358799229121,-6.261956979715995e-05,0.01230676381674027,-0.00510788728407349,-0.04352961148706969,0.6791900992393494,0.12001460790634155,0
mujoco,stairs_forward,2,2,7,0.07000000000000005,1.0,0.0,0.47749322606431904,-0.000405250877850585,0.013601751322003865,-0.007491402873731785,-0.04297924654928659,0.6541205644607544,0.08462529629468918,0
mujoco,stairs_forward,2,2,8,0.08000000000000006,1.0,0.0,0.47032496368759247,-0.0003723154809633523,0.01442360760696906,-0.0069505871040287555,-0.027292994654723093,0.673954963684082,0.1014246940612793,0
mujoco,stairs_forward,2,2,9,0.09000000000000007,1.0,0.0,0.4621527465722592,-0.0004476465066704021,0.015287832093796902,-0.008594568139530011,-0.0326804425537323,0.7052498459815979,0.08790052682161331,0
mujoco,stairs_forward,2,2,10,0.10000000000000007,1.0,0.0,0.45297479087752934,-0.0005847066669946759,0.015823626723901543,-0.008167123866546755,-0.03090834327322332,0.7440655827522278,0.05604822561144829,0
mujoco,stairs_forward,2,2,11,0.11000000000000008,1.0,0.0,0.4428110131215947,-0.0006893971503549542,0.01628987961213541,-0.00894325766864466,-0.027201105282752824,0.7653821706771851,0.05605565011501312,0
mujoco,stairs_forward,2,2,12,0.12000000000000009,1.0,0.0,0.431664273724904,-0.0008623377372117999,0.01661357897079536,-0.009171997683416824,-0.021003010760336074,0.7744008898735046,0.030634088441729546,0
mujoco,stairs_forward,2,2,13,0.1300000000000001,1.0,0.0,0.419537470020606,-0.0009869550283687308,0.016760679221733278,-0.009261688246609416,-0.013822374202858107,0.7614835500717163,0.023120515048503876,0
mujoco,stairs_forward,2,2,14,0.1400000000000001,1.0,0.0,0.4064360841638299,-0.001111661175460378,0.016868650489297088,-0.00959728648993209,-0.010731297147727253,0.7712223529815674,0.030503205955028534,0
mujoco,stairs_forward,2,2,15,0.1500000000000001,1.0,0.0,0.3923620066196071,-0.0011767711063888973,0.01690217943408723,-0.010060053587631766,0.007913253278891703,0.7683999538421631,0.021652257069945335,0
mujoco,stairs_forward,2,2,16,0.16000000000000011,1.0,0.0,0.3779680504966583,0.0026078252566211976,0.025144068681554478,-0.025793795099609187,0.12749641453097318,0.7949315309524536,0.05324907973408699,0
mujoco,stairs_forward,2,2,17,0.17000000000000012,1.0,0.0,0.36542990332132325,0.009187199811734695,0.04833435622369645,-0.03688837793080726,0.17637486502254124,1.1234395503997803,0.9063460230827332,0
mujoco,stairs_forward,2,2,18,0.18000000000000013,1.0,0.0,0.3558999813782478,0.013951800079341065,0.07063229283342984,-0.021174214783760845,0.059768329792523354,2.209758758544922,1.1281867027282715,0
mujoco,stairs_forward,2,2,19,0.19000000000000014,1.0,0.0,0.34945204397598184,0.0182864742597966,0.0841109115133031,0.0008861827286553382,-0.03542416845152696,2.6545655727386475,0.5095251798629761,0
mujoco,stairs_forward,2,2,20,0.20000000000000015,1.0,0.0,0.34557150904268086,0.02134954334134442,0.08727470721298036,0.025531583589579094,-0.17505993668873596,2.7072534561157227,0.2775246798992157,0
mujoco,stairs_forward,2,2,21,0.21000000000000016,1.0,0.0,0.3436464158256765,0.024772348324975088,0.08570834613239728,0.0389947826753814,-0.1579122855273077,2.0660996437072754,0.7909354567527771,0
mujoco,stairs_forward,2,2,22,0.22000000000000017,1.0,0.0,0.3429094345303161,0.027750128517137127,0.08181023196413018,0.050601047276794084,-0.1957592186535162,1.4888662099838257,0.8598887324333191,0
